Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
70160,2007,04/25/2008,Bloomfield,39 BURNWOOD RD,197180.0,291000.0,0.677594502,Single Family,Single Family,,,,
70117,2007,07/31/2008,Derby,16-18 BANK ST,216650.0,190000.0,1.140263158,,,25 - Other,ASSESS > SALE,,
70073,2007,11/13/2007,Newington,667 CHURCHILL DR.,121380.0,170000.0,0.714,Condo,Condo,,,,
70501,2007,05/19/2008,Milford,573 SWANSON CRESCENT,187660.0,236000.0,0.795169492,Condo,Condo,04 - Correcting Deed,,,
70026,2007,10/16/2007,Norwich,LOT 1 & 2 HINCKLEY RD,14000.0,6531.0,2.143622722,,,25 - Other,ASSESS > SALE PRICE,,POINT (-72.07194 41.52134)
70163,2007,06/04/2008,Colchester,135 WEST ROAD,170600.0,200000.0,0.853,Single Family,Single Family,01 - Family,FAMILY,,
70529,2007,09/12/2008,Enfield,13 CORA ST,145600.0,184900.0,0.787452677,Single Family,Single Family,14 - Foreclosure,,,
70361,2007,03/31/2008,Manchester,50 JARVIS RD,112400.0,169000.0,0.665088757,Single Family,Single Family,,,,
70235,2007,05/30/2008,East Lyme,15 FREEDOM WAY #19,60620.0,109760.0,0.552295918,Condo,Condo,07 - Change in Property,,,
70753,2007,02/27/2008,Bridgeport,65 STEUBEN ST.#16,44310.0,133000.0,0.333157895,Condo,Condo,,,,
70003,2007,10/12/2007,Plymouth,390 LAKE PLYMOUTH BLVD,139940.0,92000.0,1.521086957,Single Family,Single Family,25 - Other,ASSESS > SALE PRICE,,
70131,2007,04/28/2008,Oxford,47 OXFORD RD,170260.0,500000.0,0.34052,,,01 - Family,,,
70257,2007,07/10/2008,Avon,594 HUCKLEBERRY HILL RD,129200.0,178600.0,0.723404255,Single Family,Single Family,01 - Family,,,POINT (-72.89902 41.77006)
70016,2007,10/22/2007,Old Saybrook,35 MIDDLETOWN AVE,137100.0,277500.0,0.494054054,Single Family,Single Family,,,,
70140,2007,08/13/2008,Brooklyn,116 CLEARVIEW DR,134650.0,238000.0,0.565756303,Single Family,Single Family,,,,
70270,2007,12/28/2007,New Haven,38 TOWNSEND ST.,53200.0,38000.0,1.4,Single Family,Single Family,14 - Foreclosure,,,
71503,2007,07/31/2008,Bridgeport,377-381 BUNNELL ST,150400.0,215000.0,0.699534884,Four Family,Four Family,25 - Other,not compelled to buy/sell,,
70107,2007,11/06/2007,Manchester,331 FERN ST,218300.0,345000.0,0.632753623,Single Family,Single Family,,,,
70283,2007,02/11/2008,Stratford,553 WOODSTOCK AVE,206500.0,350000.0,0.59,Single Family,Single Family,,,,
70287,2007,02/25/2008,East Hartford,122 UNIVERSITY AVE,182710.0,276000.0,0.661992754,Single Family,Single Family,,,,
70097,2007,10/26/2007,Norwalk,300 FLAX HILL RD #28,216790.0,392500.0,0.55233121,Condo,Condo,,,,
71295,2007,06/16/2008,Bridgeport,190 PALISADE AVE #1B,17880.0,37000.0,0.483243243,Condo,Condo,,,,POINT (-73.16584 41.19609)
70198,2007,04/28/2008,East Lyme,127 BLACK POINT RD #24,87010.0,126700.0,0.686740331,Condo,Condo,,,,
71690,2007,09/11/2008,Bridgeport,138 PRICE STREET,85960.0,55500.0,1.548828829,Single Family,Single Family,14 - Foreclosure,,,
70200,2007,05/05/2008,Cheshire,508 OAK AVE #7,63000.0,130900.0,0.481283422,Condo,Condo,,,,
